Artist,Average_Rating,Genre
jon hopkins,7.8,electronic
kaito,7.8,electronic
kedr livanskiy,7.8,electronic
lakker,7.8,electronic
larry heard,7.8,electronic
leon vynehall,7.8,electronic
madeon,7.8,electronic
marumari,7.8,electronic
mochipet,7.8,electronic
monolake,7.8,electronic
montag,7.8,electronic
motor city drum ensemble,7.8,electronic
mri,7.8,electronic
nite-funk,7.8,electronic
omar s,7.8,electronic
popol vuh,7.8,electronic
savant,7.8,electronic
schneider tm,7.8,electronic
slava,7.8,electronic
styrofoam,7.8,electronic
sui zhen,7.8,electronic
tetuzi akiyama,7.8,electronic
the mole,7.8,electronic
the other people place,7.8,electronic
vex'd,7.8,electronic
wolfgang voigt,7.8,electronic
annie,7.78,electronic
the foreign exchange,7.78,electronic
zola jesus,7.78,electronic
lone,7.77,electronic
shlohmo,7.77,electronic
ryksopp,7.76,electronic
classixx,7.75,electronic
david holmes,7.75,electronic
electric birds,7.75,electronic
girls aloud,7.75,electronic
kode9 & the spaceape,7.75,electronic
nathan michel,7.75,electronic
seven davis jr.,7.75,electronic
tujiko noriko,7.75,electronic
uusitalo,7.75,electronic
air,7.73,electronic
dj rashad,7.73,electronic
scissor sisters,7.73,electronic
bjrk,7.72,electronic
alaska in winter,7.7,electronic
aufgang,7.7,electronic
bakonour,7.7,electronic
black moth super rainbow,7.7,electronic
bola,7.7,electronic
burnt friedman,7.7,electronic
cfcf,7.7,electronic
chevel,7.7,electronic
chicken lips,7.7,electronic
clubfeet,7.7,electronic
daniel.t.,7.7,electronic
"dj /rupture, matt shadetek",7.7,electronic
dot allison,7.7,electronic
essaie pas,7.7,electronic
gez varley,7.7,electronic
helado negro,7.7,electronic
ital,7.7,electronic
kornl kovcs,7.7,electronic
kuedo,7.7,electronic
legowelt,7.7,electronic
little dragon,7.7,electronic
megafortress,7.7,electronic
mndsgn,7.7,electronic
modeselektor,7.7,electronic
new build,7.7,electronic
otto von schirach,7.7,electronic
pangaea,7.7,electronic
pigeon funk,7.7,electronic
pixeltan,7.7,electronic
prins thomas,7.7,electronic
"ramadanman, pearson sound",7.7,electronic
rhythm & sound,7.7,electronic
"ryksopp, robyn",7.7,electronic
special request,7.7,electronic
surgeon,7.7,electronic
the prima donnas,7.7,electronic
thug entrancer,7.7,electronic
thunder tillman,7.7,electronic
time wharp,7.7,electronic
tin man,7.7,electronic
untold,7.7,electronic
xxxy,7.7,electronic
broadcast,7.68,electronic
mira calix,7.68,electronic
pole,7.68,electronic
rjd2,7.67,electronic
ryan hemsworth,7.67,electronic
eliot lipp,7.65,electronic
fatboy slim,7.65,electronic
rustie,7.65,electronic
suzanne kraft,7.65,electronic
svarte greiner,7.65,electronic
the cansecos,7.65,electronic
michael mayer,7.64,electronic
a-trak,7.63,electronic
floating points,7.63,electronic
nguzunguzu,7.63,electronic
nosaj thing,7.63,electronic
squarepusher,7.63,electronic
tiga,7.63,electronic
2 many djs,7.6,electronic
aero,7.6,electronic
anenon,7.6,electronic
applescal,7.6,electronic
arling and cameron,7.6,electronic
cashmere cat,7.6,electronic
cex,7.6,electronic
chessie,7.6,electronic
claro intelecto,7.6,electronic
dark party,7.6,electronic
"deadbeat, stephen beaupr",7.6,electronic
delia gonzalez and gavin russom,7.6,electronic
dinky,7.6,electronic
dj firmeza,7.6,electronic
dominik eulberg,7.6,electronic
donnacha costello,7.6,electronic
dosh,7.6,electronic
eartheater,7.6,electronic
echoboy,7.6,electronic
efdemin,7.6,electronic
ewan pearson,7.6,electronic
flim,7.6,electronic
fovea hex,7.6,electronic
gonno,7.6,electronic
grumbling fur,7.6,electronic
iven schmidt,7.6,electronic
jetone,7.6,electronic
lena willikens,7.6,electronic
loess,7.6,electronic
lokai,7.6,electronic
machinedrum,7.6,electronic
mark pritchard,7.6,electronic
mcferrdog,7.6,electronic
millionyoung,7.6,electronic
music a.m.,7.6,electronic
"patrick cowley, candida royalle",7.6,electronic
peder mannerfelt,7.6,electronic
prinzhorn dance school,7.6,electronic
red snapper,7.6,electronic
shackleton,7.6,electronic
siriusmo,7.6,electronic
solex,7.6,electronic
steven warwick,7.6,electronic
super wild horses,7.6,electronic
susanna and the magical orchestra,7.6,electronic
tangerine dream,7.6,electronic
the black dog,7.6,electronic
the lovely feathers,7.6,electronic
tobacco,7.6,electronic
tokyo black star,7.6,electronic
viernes,7.6,electronic
youandewan,7.6,electronic
aarktica,7.57,electronic
blanck mass,7.57,electronic
strategy,7.57,electronic
gold panda,7.56,electronic
andr bratten,7.55,electronic
audion,7.55,electronic
benot pioulard,7.55,electronic
dino felipe,7.55,electronic
lullatone,7.55,electronic
nobukazu takemura,7.55,electronic
pattern is movement,7.55,electronic
pet shop boys,7.55,electronic
raglani,7.55,electronic
ricky eat acid,7.55,electronic
shed,7.55,electronic
unai,7.55,electronic
araabmuzik,7.53,electronic
lithops,7.53,electronic
ratatat,7.53,electronic
autechre,7.51,electronic
808 state,7.5,electronic
arp,7.5,electronic
ash koosha,7.5,electronic
atelje,7.5,electronic
blectum from blechdom,7.5,electronic
blessed initiative,7.5,electronic
blue daisy,7.5,electronic
brood ma,7.5,electronic
carter tutti void,7.5,electronic
christian naujoks,7.5,electronic
christian rich,7.5,electronic
co la,7.5,electronic
daphni,7.5,electronic
deadbeat,7.5,electronic
desolate,7.5,electronic
digital mystikz,7.5,electronic
dj q,7.5,electronic
dj roc,7.5,electronic
duck sauce,7.5,electronic
eine kleine nacht musik,7.5,electronic
elite gymnastics,7.5,electronic
etienne jaumet,7.5,electronic
fort romeau,7.5,electronic
girl unit,7.5,electronic
hawnay troof,7.5,electronic
howard hello,7.5,electronic
jackmaster,7.5,electronic
jay daniel,7.5,electronic
kate simko,7.5,electronic
lorenzo senni,7.5,electronic
lorn,7.5,electronic
luke abbott,7.5,electronic
metro area,7.5,electronic
miko,7.5,electronic
moomin,7.5,electronic
mux mool,7.5,electronic
n.m.o.,7.5,electronic
na,7.5,electronic
nonkeen,7.5,electronic
peanut butter wolf,7.5,electronic
pinch,7.5,electronic
samo sound boy,7.5,electronic
sarah davachi,7.5,electronic
soft metals,7.5,electronic
solvent,7.5,electronic
stellar om source,7.5,electronic
steve hauschildt,7.5,electronic
stilluppsteypa,7.5,electronic
taragana pyjarama,7.5,electronic
teebs,7.5,electronic
the durutti column,7.5,electronic
the glimmers,7.5,electronic
tomas jirku,7.5,electronic
tourist,7.5,electronic
blondes,7.48,electronic
eluvium,7.48,electronic
fatima al qadiri,7.48,electronic
james ferraro,7.48,electronic
braids,7.47,electronic
m.a.n.d.y.,7.47,electronic
apparat,7.46,electronic
micachu and the shapes,7.46,electronic
ben klock,7.45,electronic
coloma,7.45,electronic
fannypack,7.45,electronic
kevin blechdom,7.45,electronic
kode9,7.45,electronic
nudge,7.45,electronic
salva,7.45,electronic
steve mason,7.45,electronic
brazilian girls,7.43,electronic
thomas brinkmann,7.43,electronic
alex smoke,7.4,electronic
audio bullys,7.4,electronic
balkan beat box,7.4,electronic
beequeen,7.4,electronic
bracken,7.4,electronic
brodinski,7.4,electronic
carla dal forno,7.4,electronic
caural,7.4,electronic
cosmin trg,7.4,electronic
daphne oram,7.4,electronic
drugdealer,7.4,electronic
elliphant,7.4,electronic
ernest gonzales,7.4,electronic
faltydl,7.4,electronic
felix k,7.4,electronic
feral,7.4,electronic
flume,7.4,electronic
gatto fritto,7.4,electronic
geotic,7.4,electronic
"girl talk, freeway",7.4,electronic
gudrun gut,7.4,electronic
hashman deejay,7.4,electronic
hudson mohawke,7.4,electronic
hunee,7.4,electronic
ikonika,7.4,electronic
ilkae,7.4,electronic
joey anderson,7.4,electronic
john tejada,7.4,electronic
jubilee,7.4,electronic
k-x-p,7.4,electronic
katie dey,7.4,electronic
keita sano,7.4,electronic
konx-om-pax,7.4,electronic
koreless,7.4,electronic
lapalux,7.4,electronic
losoul,7.4,electronic
low jack,7.4,electronic
luke vibert,7.4,electronic
minotaur shock,7.4,electronic
ms mr,7.4,electronic
nadastrom,7.4,electronic
nmperign,7.4,electronic
orbital,7.4,electronic
ovuca,7.4,electronic
processory,7.4,electronic
rashad becker,7.4,electronic
rebolledo,7.4,electronic
s u r v i v e,7.4,electronic
sam binga,7.4,electronic
sampha,7.4,electronic
scientific american,7.4,electronic
stare case,7.4,electronic
via app,7.4,electronic
years & years,7.4,electronic
young male,7.4,electronic
young marco,7.4,electronic
diplo,7.37,electronic
moderat,7.37,electronic
torn hawk,7.37,electronic
boom bip,7.35,electronic
bruce haack,7.35,electronic
idjut boys,7.35,electronic
king biscuit time,7.35,electronic
martyn,7.35,electronic
mikkel metal,7.35,electronic
ursula bogner,7.35,electronic
anti-pop consortium,7.33,electronic
valet,7.33,electronic
2ne1,7.3,electronic
addison groove,7.3,electronic
agf,7.3,electronic
art department,7.3,electronic
"autechre, hafler trio",7.3,electronic
azari & iii,7.3,electronic
baauer,7.3,electronic
blawan,7.3,electronic
carl stone,7.3,electronic
chet faker,7.3,electronic
danny!,7.3,electronic
dj harvey,7.3,electronic
dj krush,7.3,electronic
dj spinn,7.3,electronic
evian christ,7.3,electronic
george fitzgerald,7.3,electronic
giraffage,7.3,electronic
hatchback,7.3,electronic
ike yard,7.3,electronic
illum sphere,7.3,electronic
karamika,7.3,electronic
kate wax,7.3,electronic
katie gately,7.3,electronic
king of woolworths,7.3,electronic
lfo,7.3,electronic
liaisons dangereuses,7.3,electronic
melochrome,7.3,electronic
muslimgauze,7.3,electronic
palmbomen ii,7.3,electronic
pink skull,7.3,electronic
pixelord,7.3,electronic
"popol vuh, florian fricke",7.3,electronic
redshape,7.3,electronic
robert hood,7.3,electronic
"ryan hemsworth, lucas",7.3,electronic
"sachiko m, otomo yoshihide, toshimaru nakamura",7.3,electronic
secret mommy,7.3,electronic
skyphone,7.3,electronic
slow six,7.3,electronic
suicideyear,7.3,electronic
the 2 bears,7.3,electronic
the fireman,7.3,electronic
the orb,7.3,electronic
the parallax corporation,7.3,electronic
xeno & oaklander,7.3,electronic
zongamin,7.3,electronic
peaches,7.27,electronic
jam city,7.25,electronic
marcel dettmann,7.25,electronic
psapp,7.25,electronic
tanlines,7.23,electronic
adventure,7.2,electronic
ampbuzz,7.2,electronic
andrew thomas,7.2,electronic
ayshay,7.2,electronic
baio,7.2,electronic
belbury poly,7.2,electronic
botany,7.2,electronic
cassius,7.2,electronic
"cex, kid606",7.2,electronic
com.a,7.2,electronic
daniel avery,7.2,electronic
deantoni parks,7.2,electronic
"delia derbyshire, elsa stansfield",7.2,electronic
destiny's child,7.2,electronic
dj nate,7.2,electronic
ellie goulding,7.2,electronic
felix,7.2,electronic
gold chains,7.2,electronic
hard mix,7.2,electronic
helm,7.2,electronic
ivan smagghe,7.2,electronic
jimmy edgar,7.2,electronic
john roberts,7.2,electronic
kag,7.2,electronic
matias aguayo,7.2,electronic
matrixxman,7.2,electronic
matthew robert cooper,7.2,electronic
mg,7.2,electronic
pita,7.2,electronic
push button objects,7.2,electronic
savath y savalas,7.2,electronic
skalpel,7.2,electronic
solar bears,7.2,electronic
spoonie gee,7.2,electronic
the 7th plain,7.2,electronic
the advisory circle,7.2,electronic
trentemller,7.2,electronic
tussle,7.2,electronic
"up, bustle and out",7.2,electronic
vladislav delay quartet,7.2,electronic
white mystery,7.2,electronic
chicks on speed,7.17,electronic
pictureplane,7.15,electronic
andrew hung,7.1,electronic
andrew pekler,7.1,electronic
books on tape,7.1,electronic
bullion,7.1,electronic
circlesquare,7.1,electronic
crying,7.1,electronic
drop the lime,7.1,electronic
dva [hi:emotions],7.1,electronic
electric company,7.1,electronic
fan club orchestra,7.1,electronic
fantastic plastic machine,7.1,electronic
gacha,7.1,electronic
ghost culture,7.1,electronic
hyetal,7.1,electronic
jake fairley,7.1,electronic
kid static,7.1,electronic
kosmo kat,7.1,electronic
l. pierre,7.1,electronic
laurent garnier,7.1,electronic
maria minerva,7.1,electronic
miho hatori,7.1,electronic
minilogue,7.1,electronic
mndr,7.1,electronic
o.lamm,7.1,electronic
pvt,7.1,electronic
radio slave,7.1,electronic
sami koivikko,7.1,electronic
scott solter,7.1,electronic
scsi-9,7.1,electronic
seams,7.1,electronic
shit robot,7.1,electronic
silver apples,7.1,electronic
sinkane,7.1,electronic
steven julien,7.1,electronic
takashi wada,7.1,electronic
the shoes,7.1,electronic
two fingers,7.1,electronic
vladislav delay,7.1,electronic
voices and organs,7.1,electronic
"yannis kyriakides, andy moor",7.1,electronic
the berg sans nipple,7.05,electronic
4 hero,7.0,electronic
aeroc,7.0,electronic
amir alexander,7.0,electronic
boof,7.0,electronic
ceramic tl,7.0,electronic
chrissy murderbot,7.0,electronic
cibo matto,7.0,electronic
clue to kalo,7.0,electronic
console,7.0,electronic
croatian amor,7.0,electronic
cylob,7.0,electronic
darkstar,7.0,electronic
dj andy smith,7.0,electronic
dj t.,7.0,electronic
duo505,7.0,electronic
eardrum,7.0,electronic
el-b,7.0,electronic
f.s. blumm,7.0,electronic
filastine,7.0,electronic
florian kupfer,7.0,electronic
"flume, chet faker",7.0,electronic
foetus,7.0,electronic
"gerry mitchell, little sparta",7.0,electronic
gilles peterson,7.0,electronic
global goon,7.0,electronic
johnny jewel,7.0,electronic
kid loco,7.0,electronic
kid606,7.0,electronic
kieran hebden,7.0,electronic
lust for youth,7.0,electronic
mark e,7.0,electronic
matthewdavid,7.0,electronic
milosh,7.0,electronic
miss kittin,7.0,electronic
mohn,7.0,electronic
moritz von oswald trio,7.0,electronic
mr. scruff,7.0,electronic
nick hook,7.0,electronic
president,7.0,electronic
ratcliffe,7.0,electronic
"ricardo villalobos, umho",7.0,electronic
rip-off artist,7.0,electronic
ris paul ric,7.0,electronic
roosevelt,7.0,electronic
soul clap,7.0,electronic
the herbaliser,7.0,electronic
the yolks,7.0,electronic
tosca,7.0,electronic
tycho,7.0,electronic
von sdenfed,7.0,electronic
yotam avni,7.0,electronic
my bloody valentine,9.55,experimental
"morton feldman, ives ensemble",9.5,experimental
chavez,9.4,experimental
disco inferno,9.35,experimental
glenn branca,9.35,experimental
young marble giants,9.3,experimental
iran,9.25,experimental
nico,9.2,experimental
the modern lovers,9.2,experimental
ride,9.1,experimental
terry riley,9.1,experimental
angelo badalamenti,9.0,experimental
anohni,9.0,experimental
art bears,9.0,experimental
this heat,9.0,experimental
"tony conrad, faust",9.0,experimental
julius eastman,8.9,experimental
peter brtzmann,8.9,experimental
spiritualized,8.9,experimental
the unicorns,8.9,experimental
"tim berne, herb robertson, copenhagen art ensemble, marc ducret",8.9,experimental
united states of america,8.9,experimental
can,8.82,experimental
"david lynch, alan splet",8.8,experimental
the microphones,8.8,experimental
tortoise,8.77,experimental
gyrgy ligeti,8.7,experimental
"mimeo, john tilbury",8.7,experimental
the haxan cloak,8.7,experimental
the wrens,8.7,experimental
ulver,8.7,experimental
fennesz,8.63,experimental
craig taborn,8.6,experimental
galaxie 500,8.6,experimental
hawkwind,8.6,experimental
mike cooper,8.6,experimental
philip glass,8.6,experimental
pierre bastien,8.6,experimental
richard hell,8.6,experimental
sebadoh,8.6,experimental
thinking fellers union local 282,8.6,experimental
ennio morricone,8.57,experimental
the jesus and mary chain,8.55,experimental
akio suzuki,8.5,experimental
alejandra and aeron,8.5,experimental
anton fier,8.5,experimental
azusa plane,8.5,experimental
"brian eno, karl hyde",8.5,experimental
captain beefheart,8.5,experimental
diamanda gals,8.5,experimental
laurie anderson,8.5,experimental
"peter brtzmann, william parker, hamid drake",8.5,experimental
syd barrett,8.5,experimental
jim orourke,8.48,experimental
burial,8.42,experimental
"animal collective, vashti bunyan",8.4,experimental
esg,8.4,experimental
frankie rose,8.4,experimental
jan jelinek,8.4,experimental
"jan jelinek, computer soup",8.4,experimental
john maus,8.4,experimental
"kaitlyn aurelia smith, suzanne ciani",8.4,experimental
kronos quartet,8.4,experimental
lotus plaza,8.4,experimental
magma,8.4,experimental
"mat maneri, joe mcphee",8.4,experimental
need new body,8.4,experimental
oneohtrix point never,8.4,experimental
so,8.4,experimental
supersilent,8.4,experimental
"the jim yoshii pile-up, xiu xiu",8.4,experimental
wu lyf,8.4,experimental
animal collective,8.38,experimental
liars,8.38,experimental
perfume genius,8.37,experimental
the ex,8.37,experimental
amon dl ii,8.35,experimental
circulatory system,8.35,experimental
max richter,8.34,experimental
current 93,8.33,experimental
throbbing gristle,8.33,experimental
arca,8.3,experimental
asobi seksu,8.3,experimental
black tambourine,8.3,experimental
cloud cult,8.3,experimental
cluster ensemble,8.3,experimental
condo fucks,8.3,experimental
quickspace,8.3,experimental
sandro perri,8.3,experimental
sunroof!,8.3,experimental
sunset rubdown,8.3,experimental
swell maps,8.3,experimental
tapes 'n tapes,8.3,experimental
the secret machines,8.3,experimental
various artists,8.3,experimental
holly herndon,8.27,experimental
william basinski,8.27,experimental
jackie-o motherfucker,8.26,experimental
menomena,8.26,experimental
acid mothers temple,8.25,experimental
to live and shave in l.a.,8.25,experimental
ariel pink's haunted graffiti,8.23,experimental
ponytail,8.23,experimental
rhys chatham,8.23,experimental
no-neck blues band,8.22,experimental
grandaddy,8.21,experimental
robert wyatt,8.21,experimental
albert marcoeur,8.2,experimental
amnesia scanner,8.2,experimental
anthony braxton,8.2,experimental
"broken social scene, kevin drew",8.2,experimental
dedekind cut,8.2,experimental
department of eagles,8.2,experimental
"henry cow, slapp happy",8.2,experimental
ian william craig,8.2,experimental
infinite body,8.2,experimental
laetitia sadier,8.2,experimental
masayoshi fujita,8.2,experimental
men's recovery project,8.2,experimental
moor mother,8.2,experimental
morton feldman,8.2,experimental
nurse with wound,8.2,experimental
pauline oliveros,8.2,experimental
pharmakon,8.2,experimental
secret chiefs 3,8.2,experimental
"shara worden, sarah kirkland snider, signal",8.2,experimental
skeletons and the kings of all cities,8.2,experimental
steve reich,8.2,experimental
"susanna, jenny hval",8.2,experimental
the psychic paramount,8.2,experimental
brian eno,8.18,experimental
gang gang dance,8.18,experimental
tim hecker,8.18,experimental
charalambides,8.15,experimental
elysia crampton,8.15,experimental
giddy motors,8.15,experimental
laddio bolocko,8.15,experimental
lilys,8.15,experimental
love is all,8.15,experimental
the antlers,8.15,experimental
tim berne,8.15,experimental
times new viking,8.15,experimental
vivian girls,8.15,experimental
wold,8.15,experimental
matthew shipp,8.13,experimental
the magnetic fields,8.13,experimental
the books,8.12,experimental
ween,8.12,experimental
13 & god,8.1,experimental
a certain ratio,8.1,experimental
"anna homler, steve moshier",8.1,experimental
bailter space,8.1,experimental
comets on fire,8.1,experimental
david daniell,8.1,experimental
dean roberts,8.1,experimental
dna,8.1,experimental
elf power,8.1,experimental
free energy,8.1,experimental
goat,8.1,experimental
gruppo di improvvisazione nuova consonanza,8.1,experimental
meredith monk,8.1,experimental
mouthus,8.1,experimental
spacemen 3,8.1,experimental
the blithe sons,8.1,experimental
xinlisupreme,8.1,experimental
yvette,8.1,experimental
arthur russell,8.08,experimental
death grips,8.08,experimental
yellow swans,8.08,experimental
deerhoof,8.07,experimental
dirty beaches,8.07,experimental
the knife,8.06,experimental
"david byrne, brian eno",8.05,experimental
kevin drumm,8.05,experimental
volcano choir,8.05,experimental
earlimart,8.04,experimental
wooden wand and the vanishing voice,8.03,experimental
sunn o))),8.01,experimental
anna meredith,8.0,experimental
art of noise,8.0,experimental
"arthur russell, peter zummo",8.0,experimental
badgerlore,8.0,experimental
be your own pet,8.0,experimental
byard lancaster,8.0,experimental
david borden,8.0,experimental
double leopards,8.0,experimental
